category,question,answer,keywords,sort_no
rate,现在贷款利率是多少？,"消费类贷款年化利率区间以贷款产品实时公示为准，示例区间为4.5%-10.8%，最终执行利率以审批结果与合同约定为准，本回复不构成任何承诺。","贷款利率,消费贷,年化利率,利息",1
rate,存款利率是多少？,"人民币存款利率按产品与存期执行：活期按日计息，定期存期越长利率越高，具体利率以网点与手机银行公示为准。","存款利率,定期,活期,利息",2
fee,转账手续费怎么收？,"手机银行渠道同行转账免收手续费；跨行转账手续费按笔收取，具体标准以服务产品公示为准。您可以在转账确认页看到实际费用。","转账,手续费,跨行,费用",3
fee,办卡要收年费吗？,"普通储蓄卡默认免收年费；信用卡年费按卡等级收取，部分卡种满足消费条件可减免年费，具体以信用卡产品说明为准。","年费,办卡,信用卡,储蓄卡",4
repayment,可以提前还款吗？,"支持提前还款。部分贷款产品提前还款可能收取违约金，具体以合同约定为准。还款前请先确认当期账单是否已出账。","提前还款,违约金,结清",5
repayment,贷款怎么还款？,"贷款默认采用等额本息方式还款，系统每月从您绑定的还款账户自动扣款，请确保还款日前账户余额充足。","贷款还款,等额本息,自动扣款,月供",6
credit_card,信用卡怎么还款？,"信用卡支持绑定本行账户自动扣款或主动还款，请在到期还款日24点前完成还款。逾期未还将按日计收利息并可能影响个人征信。","信用卡还款,还款日,最低还款,逾期",7
credit_card,信用卡金卡和白金卡有什么区别？,"金卡与白金卡的主要区别在于信用额度区间、年费标准与增值权益：白金卡额度区间更高，附带机场贵宾、高额保障等权益，年费也相应更高。具体以产品页公示为准。","金卡,白金卡,额度,权益,年费",8
risk,理财有风险吗？,"理财非存款，产品有风险，投资须谨慎。购买前请先完成风险承受能力测评，并选择与自身风险等级匹配的产品。历史业绩不代表未来收益。","理财,风险,测评,亏损",9
risk,你们会主动打电话让我转账吗？,"本行不会以任何名义要求客户向陌生账户转账，也不会索要密码、短信验证码。如接到可疑电话，请立即挂断并拨打官方客服核实。","诈骗,转账,验证码,防诈",10
account,账户被冻结怎么办？,"账户冻结可能源于司法冻结、风控保护或挂失止付。请携带本人有效证件前往网点核实，或提交工单由专员处理，解冻前请勿轻信任何代办渠道。","冻结,解冻,账户异常",11
account,银行卡丢了怎么办？,"请第一时间通过智能客服办理挂失（对我说卡丢了即可），挂失后该卡立即不能交易，随后请尽快到网点补办新卡。如存在可疑交易，建议同时提交投诉工单。","挂失,卡丢了,补卡,盗刷",12
guide,怎么开通手机银行？,"您可以携带本人有效证件和银行卡到任意网点开通手机银行，也可通过手机银行App在线注册，在线注册客户需完成实名认证后方可使用全部功能。","手机银行,开通,注册,网银",13
guide,贷款申请需要什么材料？,"申请消费贷款一般需完成实名认证并提供收入相关信息；系统会按产品要求提示所需材料。具体材料清单以申请页提示与信贷经理要求为准。","贷款材料,收入证明,征信",14
